Block,Gram Panchayat,Village,Beneficiary_Count
Bangriposi,Dhabanisole,Balikhani,23
Bangriposi,Dhabanisole,Ranasole,13
Bangriposi,Dhobanisole,Balikhani,55
Bangriposi,Dhobanisole,Gandipani,5
Bangriposi,Dhobanisole,Patbedha,10
Bangriposi,Dighi,Dighi,25
Bangriposi,Dighi,Dorkantia,55
Bangriposi,Dighi,Mundhakata,17
Bangriposi,Kalabadia,Balimunduli,9
Bangriposi,Kalabadia,Brahmangan,37
Bangriposi,Kalabadia,Brahmangoan,10
Bangriposi,Kalabadia,Jaganathkhunta,25
Bangriposi,Kalabadia,Jaganathpur,22
Bangriposi,Kalabadia,Kalabadia,22
Bangriposi,Kalabadia,Mahulisole,6
Bangriposi,Kalabadia,Panasdiha,16
Bangriposi,Kalabadia,Sitaldaha,4
Bangriposi,Kalbadia,Kalabadia,1
Bangriposi,Kumbharmundhakata,Gamhapur,16
Bangriposi,Kusumbandh,Asansikhar,27
Bangriposi,Kusumbandh,Gopalpur,2
Bangriposi,Kusumbandh,Hinjili,19
Bangriposi,Kusumbandh,Kusumbandh,30
Bangriposi,Kusumbandh,Tulasibani,1
Bangriposi,Nischinta,Chuapani,8
Bangriposi,Nischinta,Sanpatharkham,16
Bangriposi,Nischinta,Sirasahi,27
Bangriposi,Sarisapal,Baunshapahadi,13
Bangriposi,Sarisapal,Dhobanijoda,9
Bangriposi,Shyamsundarpur,Bhulanpur,4
Bangriposi,Shyamsundarpur,Chadheipahadi,12
Bangriposi,Shyamsundarpur,Chaulaghei,1
Bangriposi,Shyamsundarpur,Chaulagheri,6
Bangriposi,Shyamsundarpur,Jualikata,14
Bangriposi,Shyamsundarpur,Nuagan,7
Bangriposi,Shyamsundarpur,Sialijodi,9
Bangriposi,Shyamsundarpur,Uparbhadrasole,6
Bangriposi,Shymsundarpur,Uparbhadrasole,1
Bangriposi,Sorisapal,Purunapani,13
Bangriposi,Sorishapal,Amdapani,9
Bangriposi,Sorishapal,Khadighati,5
Bangriposi,Sorishapal,Khadighaty,1
Bangriposi,Sorishapal,Khadipahadi,3
Bangriposi,Sorishapal,Kusumtota,12
Bangriposi,Sorishpal,Barubeda,13
Bangriposi,Sorishpal,Chakidi,12
Bangriposi,Sorishpal,Ghatiduba,20
Bangriposi,Sorishpal,Jerkani,1
Bangriposi,Sorishpal,Kukurbhuka,1
Bangripsoi,Kumbharmundhakata,Gamhapur,12
Bangripsoi,Sorishapal,Amdapani,18
Baripada,Badajod,Badajod,6
Baripada,Badjod,Badjod,122
Baripada,Bankisole,Badabila,32
Baripada,Bankisole,"Badabrahman
mara",15
Baripada,Bankisole,Bankisole,64
Baripada,Bankisole,Sanbrahmanmara,23
Baripada,Bankisole,Tentulisole,50
Baripada,Betna,Betna,47
Baripada,Betna,Damdorpur,227
Baripada,Bhagabanpur,Machakandana,10
Baripada,Bhagabatachandra,Urachandabila,8
Baripada,Bhagabatch.pur,Jaganathpur,7
Baripada,Bhagabatchandrapur,Dhansole,27
Baripada,Bhagabatchpur,Bhagabat Ch.pur,49
Baripada,"Budhikha
mari","Ahari ""କ""",11
Baripada,"Budhikha
mari","Naya Purusot
tampur",13
Baripada,Budhikhamari,Ahari,21
Baripada,Budhikhamari,Budhikhamari,35
Baripada,Budhikhamari,Kailashchandrapur,37
Baripada,Budhikhamari,Radhikasole,1
Baripada,Chandanpur,Asan Sila,1
Baripada,Chandanpur,Badapeta,23
Baripada,Chandanpur,Badpeta,9
Baripada,Chandanpur,Balidam,8
Baripada,Chandanpur,Bautisole,10
Baripada,Chandanpur,Bholghati,4
Baripada,Chandanpur,Binodpur,17
Baripada,Chandanpur,Chandanpur,42
Baripada,Chandanpur,Dhenkinanjia,12
Baripada,Chandanpur,Dhenkinedia,14
Baripada,Chandanpur,Karatpata,74
Baripada,Chandanpur,Meghamari,23
Baripada,Chandanpur,Tarana,22
Baripada,Hatikot,Kanchanpal,9
Baripada,Hatikote,Hatikote,116
Baripada,Hatikote,Jamdapal,5
Baripada,Khadisole,Dumapada,12
Baripada,Khadisole,Karanjia,25
Baripada,Khadisole,Khadipal,2
Baripada,Khadisole,Khadisole,18
Baripada,Khadisole,Sankhajod,7
Baripada,Khadisole,Sankhjod,1
Baripada,Khadisole,Shankhjod,20
Baripada,Khodisole,Karanjia,33
Baripada,Kohi,Pratapchndrapur,19
Baripada,Laxmiposi,Chenadhua,21
Baripada,Laxmiposi,Indapahi,3
Baripada,Laxmiposi,Indopahi,22
Baripada,Laxmiposi,kainfulia,10
Baripada,Nua Nagar,Badjode,9
Baripada,Rajabasa,Baura,134
Baripada,Rajabasa,Indapahi,20
Baripada,Rajabasa,Kasipal,17
Baripada,Rajabasa,Kukudajodi,19
Baripada,Rajabasa,Nayaradha nagar,8
Baripada,Rajabasa,Salabani,25
Baripada,Sankhabanga,Hesildihi,10
Baripada,Sankhabanga,Nuadihi,20
Baripada,Sankhabanga,Ranibhole,17
Baripada,Sankhabhanga,Baghuasole,19
Baripada,Sankhabhanga,Jambhiradiha,4
Baripada,Sankhabhanga,Ranibhole,11
Baripada,Sankhabhanga,Sikarghati,3
Baripada,Shankhabhanga,Ranibhole (Dabkisole),14
Baripada,Sorishpal,Astabeda,33
Baripada,Sorishpal,Kamalpur,11
Baripada,Sorispal,Sorispal,25
Baripada,Ufalgadia,Badabanagan,2
Barsahi,Barsahi,Barsahi,41
Barsahi,Jadunathpur,Jadunathpur,13
Barsahi,Khanua,Khanua,41
Barsahi,Kuchilakhunta,Baghamara,11
Barsahi,Kuchilakhunta,Kuchilakhunta,8
Barsahi,Madgovindapur,Jodida,31
Barsahi,Naupal,Astajharan,21
Barsahi,Salgoan,Narangoan,10
Betnoti,Agria,Agria,8
Betnoti,Agria,Angaragodia,12
Betnoti,Agria,Nuagoan,17
Betnoti,Ambagadia,Amabagadia Angargadia,9
Betnoti,Ambagadia,Ambagadia,16
Betnoti,Ambagadia,Bamada,17
Betnoti,Ambagadia,Mantridahi,8
Betnoti,Ambagadia,Purunapani,1
Betnoti,Ambagadia,"Purunapani
Samil Kakharu
Kunta",37
Betnoti,Ambagadia,"Samil Kakharu
Kunta",1
Betnoti,Ambagadia,"Samil Kakharu G
Kunta",1
Betnoti,Ambagodia,Ambagodia,23
Betnoti,Ambagodia,Purunapani,6
Betnoti,Baishnga,Padmapur,12
Betnoti,Baisinga,Ajadiha,8
Betnoti,Baisinga,Bad Damdorpur,23
Betnoti,Baisinga,Bad damdorpur,6
Betnoti,Baisinga,Banadamdorpur,9
Betnoti,Baisinga,Bidukudia,35
Betnoti,Baisinga,Khairabani,25
Betnoti,Baisinga,Khairbani,5
Betnoti,Baisinga,Mohanpur,26
Betnoti,Baisinga,Nachipuria,5
Betnoti,Baisinga,Nuagaon,23
Betnoti,Baisinga,Paikajugpura,5
Betnoti,Baisinga,Raghunathpur,23
Betnoti,Baisinga,Raghunathur,1
Betnoti,Betnoti,Ambajoda,21
Betnoti,Betnoti,Bhurudubani,9
Betnoti,Betnoti,Raghunathpur,7
Betnoti,Chachinapada,Sarda,20
Betnoti,Chanchiapada,Chanchiapada,21
Betnoti,Chanchipada,Sharada,5
Betnoti,Dahikoti,Agada,2
Betnoti,Dahikoti,Bhalia,13
Betnoti,Dahikoti,Dahikoti,8
Betnoti,Jugal,Bagalpur,14
Betnoti,Kalama,Kalama,55
Betnoti,Kalama,Kalma,1
Betnoti,Kalma,Jaypuria,9
Betnoti,Khadisole,Kanchanagar,8
Betnoti,Khadisole,Kanchannagar,1
Betnoti,Khadisole,Sangajod,10
Betnoti,Mahinsasole,Tikayatpur,15
Betnoti,Mahisasole,Bishnupur,5
Betnoti,Merda,Durgapur,6
Betnoti,Merda,Saradiha,13
Betnoti,Mohisasole,Banamalipur,7
Betnoti,Mohisasole,Bishnupur,28
Betnoti,Mohisasole,Sikharkhunta,12
Betnoti,Nadpur,Nadpur,14
Betnoti,Nadpur,Tikargadia,8
Betnoti,Nandasole,Nandasole,5
Betnoti,Nayabasantpur,Purunapani,6
Betnoti,Nayabasantpur,Purunia(Pathara Sahi,21
Betnoti,Nayabasasntpur,Purunia(Pathara Sahi,1
Betnoti,Patalipura,Badkhiripada,6
Betnoti,Patalipura,Singlamundali,6
Betnoti,Patalipura,Singlamunduli,9
Betnoti,Purinda,Sansa,6
Betnoti,Purunia,Angaria,13
Betnoti,Purunia,Bachuripada,1
Betnoti,Purunia,Nuagan,2
Betnoti,Purunia,Purunia,54
Betnoti,Raghupur,Naya Basantapur,1
Betnoti,Raghupur,Nayabasantapur,9
Betnoti,Raghupur,Panasia,10
